Date,"Slack (software)"
2016-06-19,18
2016-06-20,18
2016-06-21,22
2016-06-22,21
2016-06-23,30
2016-06-24,28
2016-06-25,25
2016-06-26,23
2016-06-27,24
2016-06-28,26
2016-06-29,29
2016-06-30,53
2016-07-01,22
2016-07-02,34
2016-07-03,26
2016-07-04,14
2016-07-05,28
2016-07-06,26
2016-07-07,26
2016-07-08,15
2016-07-09,24
2016-07-10,26
2016-07-11,14
2016-07-12,17
2016-07-13,26
2016-07-14,40
2016-07-15,16
2016-07-16,25
2016-07-17,21
2016-07-18,18
2016-07-19,12
2016-07-20,23
2016-07-21,14
2016-07-22,34
2016-07-23,27
2016-07-24,98
2016-07-25,213
2016-07-26,27
2016-07-27,27
2016-07-28,36
2016-07-29,27
2016-07-30,52
2016-07-31,23
2016-08-01,22
2016-08-02,28
2016-08-03,32
2016-08-04,26
2016-08-05,40
2016-08-06,35
2016-08-07,40
2016-08-08,26
2016-08-09,24
2016-08-10,25
2016-08-11,28
2016-08-12,79
2016-08-13,26
2016-08-14,21
2016-08-15,23
2016-08-16,22
2016-08-17,16
2016-08-18,13
2016-08-19,20
2016-08-20,24
2016-08-21,33
2016-08-22,19
2016-08-23,17
2016-08-24,28
2016-08-25,36
2016-08-26,27
2016-08-27,23
2016-08-28,27
2016-08-29,16
2016-08-30,23
2016-08-31,24
2016-09-01,27
2016-09-02,64
2016-09-03,29
2016-09-04,25
2016-09-05,23
2016-09-06,25
2016-09-07,34
2016-09-08,30
2016-09-09,23
2016-09-10,27
2016-09-11,12
2016-09-12,14
2016-09-13,27
2016-09-14,17
2016-09-15,13
2016-09-16,23
2016-09-17,29
2016-09-18,16
2016-09-19,21
2016-09-20,29
2016-09-21,45
2016-09-22,20
2016-09-23,19
2016-09-24,23
2016-09-25,31
2016-09-26,18
2016-09-27,54
2016-09-28,55
2016-09-29,23
2016-09-30,25
2016-10-01,29
2016-10-02,27
2016-10-03,32
2016-10-04,28
2016-10-05,22
2016-10-06,20
2016-10-07,24
2016-10-08,36
2016-10-09,45
2016-10-10,40
2016-10-11,48
2016-10-12,32
2016-10-13,23
2016-10-14,33
2016-10-15,37
2016-10-16,65
2016-10-17,42
2016-10-18,35
2016-10-19,27
2016-10-20,38
2016-10-21,25
2016-10-22,20
2016-10-23,29
2016-10-24,54
2016-10-25,19
2016-10-26,33
2016-10-27,32
2016-10-28,49
2016-10-29,28
2016-10-30,22
2016-10-31,39
2016-11-01,29
2016-11-02,39
2016-11-03,44
2016-11-04,34
2016-11-05,21
2016-11-06,22
2016-11-07,32
2016-11-08,23
2016-11-09,32
2016-11-10,25
2016-11-11,26
2016-11-12,27
2016-11-13,42
2016-11-14,34
2016-11-15,12
2016-11-16,37
2016-11-17,19
2016-11-18,40
2016-11-19,24
2016-11-20,23
2016-11-21,22
2016-11-22,23
2016-11-23,69
2016-11-24,20
2016-11-25,37
2016-11-26,23
2016-11-27,10
2016-11-28,24
2016-11-29,46
2016-11-30,65
2016-12-01,71
2016-12-02,34
2016-12-03,19
2016-12-04,23
2016-12-05,42
2016-12-06,22
2016-12-07,25
2016-12-08,25
2016-12-09,27
2016-12-10,45
2016-12-11,25
2016-12-12,30
2016-12-13,38
2016-12-14,27
2016-12-15,36
2016-12-16,41
2016-12-17,39
2016-12-18,25
2016-12-19,38
2016-12-20,32
2016-12-21,24
2016-12-22,22
2016-12-23,44
2016-12-24,36
2016-12-25,14
2016-12-26,76
2016-12-27,53
2016-12-28,33
2016-12-29,26
2016-12-30,36
2016-12-31,23
2017-01-01,12
2017-01-02,32
2017-01-03,22
2017-01-04,27
2017-01-05,22
2017-01-06,37
2017-01-07,29
2017-01-08,27
2017-01-09,33
2017-01-10,35
2017-01-11,16
2017-01-12,43
2017-01-13,21
2017-01-14,24
2017-01-15,39
2017-01-16,29
2017-01-17,21
2017-01-18,36
2017-01-19,34
2017-01-20,45
2017-01-21,48
2017-01-22,27
2017-01-23,31
2017-01-24,37
2017-01-25,35
2017-01-26,43
2017-01-27,31
2017-01-28,51
2017-01-29,31
2017-01-30,31
2017-01-31,31
2017-02-01,73
2017-02-02,44
2017-02-03,32
2017-02-04,17
2017-02-05,22
2017-02-06,29
2017-02-07,31
2017-02-08,29
2017-02-09,26
2017-02-10,29
2017-02-11,40
2017-02-12,28
2017-02-13,36
2017-02-14,33
2017-02-15,19
2017-02-16,27
2017-02-17,28
2017-02-18,24
2017-02-19,24
2017-02-20,24
2017-02-21,27
2017-02-22,98
2017-02-23,79
2017-02-24,29
2017-02-25,37
2017-02-26,29
2017-02-27,28
2017-02-28,36
2017-03-01,22
2017-03-02,41
2017-03-03,26
2017-03-04,38
2017-03-05,32
2017-03-06,40
2017-03-07,54
2017-03-08,29
2017-03-09,43
2017-03-10,50
2017-03-11,46
2017-03-12,27
2017-03-13,38
2017-03-14,33
2017-03-15,45
2017-03-16,38
2017-03-17,83
2017-03-18,39
2017-03-19,70
2017-03-20,41
2017-03-21,34
2017-03-22,40
2017-03-23,36
2017-03-24,33
2017-03-25,19
2017-03-26,15
2017-03-27,24
2017-03-28,38
2017-03-29,28
2017-03-30,190
2017-03-31,53
2017-04-01,50
2017-04-02,24
2017-04-03,28
2017-04-04,27
2017-04-05,27
2017-04-06,45
2017-04-07,38
2017-04-08,25
2017-04-09,40
2017-04-10,43
2017-04-11,39
2017-04-12,41
2017-04-13,45
2017-04-14,39
2017-04-15,53
2017-04-16,37
2017-04-17,36
2017-04-18,35
2017-04-19,51
2017-04-20,54
2017-04-21,28
2017-04-22,30
2017-04-23,27
2017-04-24,40
2017-04-25,34
2017-04-26,41
2017-04-27,27
2017-04-28,23
2017-04-29,27
2017-04-30,22
2017-05-01,19
2017-05-02,22
2017-05-03,22
2017-05-04,32
2017-05-05,26
2017-05-06,32
2017-05-07,28
2017-05-08,34
2017-05-09,22
2017-05-10,17
2017-05-11,55
2017-05-12,21
2017-05-13,24
2017-05-14,25
2017-05-15,48
2017-05-16,29
2017-05-17,20
2017-05-18,30
2017-05-19,29
2017-05-20,23
2017-05-21,24
2017-05-22,31
2017-05-23,45
2017-05-24,27
2017-05-25,31
2017-05-26,30
2017-05-27,24
2017-05-28,13
2017-05-29,37
2017-05-30,14
2017-05-31,24
2017-06-01,30
2017-06-02,20
2017-06-03,20
2017-06-04,15
2017-06-05,17
2017-06-06,29
2017-06-07,20
2017-06-08,25
2017-06-09,56
2017-06-10,38
2017-06-11,22
2017-06-12,49
2017-06-13,53
2017-06-14,29
2017-06-15,58
2017-06-16,40
2017-06-17,24
2017-06-18,35
2017-06-19,25
2017-06-20,22
2017-06-21,26
2017-06-22,27
2017-06-23,18
2017-06-24,26
2017-06-25,22
2017-06-26,34
2017-06-27,23
2017-06-28,30
2017-06-29,47
2017-06-30,60
2017-07-01,119
2017-07-02,139
2017-07-03,115
2017-07-04,128
2017-07-05,116
2017-07-06,80
2017-07-07,55
2017-07-08,56
2017-07-09,64
2017-07-10,62
2017-07-11,60
2017-07-12,54
2017-07-13,33
2017-07-14,44
2017-07-15,30
2017-07-16,26
2017-07-17,25
2017-07-18,19
2017-07-19,23
2017-07-20,21
2017-07-21,24
2017-07-22,33
2017-07-23,28
2017-07-24,25
2017-07-25,41
2017-07-26,25
2017-07-27,39
2017-07-28,34
2017-07-29,24
2017-07-30,27
2017-07-31,22
2017-08-01,24
2017-08-02,29
2017-08-03,33
2017-08-04,28
2017-08-05,19
2017-08-06,17
2017-08-07,39
2017-08-08,27
2017-08-09,51
2017-08-10,26
2017-08-11,46
2017-08-12,21
2017-08-13,22
2017-08-14,28
2017-08-15,25
2017-08-16,43
2017-08-17,27
2017-08-18,30
2017-08-19,24
2017-08-20,19
2017-08-21,48
2017-08-22,38
2017-08-23,36
2017-08-24,24
2017-08-25,32
2017-08-26,26
2017-08-27,17
2017-08-28,40
2017-08-29,32
2017-08-30,23
2017-08-31,39
2017-09-01,41
2017-09-02,24
2017-09-03,21
2017-09-04,35
2017-09-05,43
2017-09-06,41
2017-09-07,27
2017-09-08,47
2017-09-09,27
2017-09-10,18
2017-09-11,57
2017-09-12,57
2017-09-13,52
2017-09-14,60
2017-09-15,39
2017-09-16,20
2017-09-17,17
2017-09-18,27
2017-09-19,33
2017-09-20,38
2017-09-21,81
2017-09-22,43
2017-09-23,59
2017-09-24,25
2017-09-25,63
2017-09-26,66
2017-09-27,57
2017-09-28,74
2017-09-29,60
2017-09-30,31
2017-10-01,35
2017-10-02,62
2017-10-03,53
2017-10-04,59
2017-10-05,147
2017-10-06,44
2017-10-07,21
2017-10-08,18
2017-10-09,33
2017-10-10,61
2017-10-11,66
2017-10-12,66
2017-10-13,53
2017-10-14,25
2017-10-15,26
2017-10-16,47
2017-10-17,72
2017-10-18,41
