Date,"Slack (software)"
2016-06-02,1100
2016-06-03,998
2016-06-04,428
2016-06-05,534
2016-06-06,4736
2016-06-07,3077
2016-06-08,2253
2016-06-09,1752
2016-06-10,1689
2016-06-11,687
2016-06-12,660
2016-06-13,1839
2016-06-14,1755
2016-06-15,1693
2016-06-16,1504
2016-06-17,1294
2016-06-18,525
2016-06-19,549
2016-06-20,1337
2016-06-21,1480
2016-06-22,1770
2016-06-23,1640
2016-06-24,1038
2016-06-25,453
2016-06-26,480
2016-06-27,1231
2016-06-28,1385
2016-06-29,1338
2016-06-30,1396
2016-07-01,1127
2016-07-02,413
2016-07-03,454
2016-07-04,993
2016-07-05,1293
2016-07-06,1185
2016-07-07,1200
2016-07-08,1031
2016-07-09,398
2016-07-10,477
2016-07-11,1139
2016-07-12,1160
2016-07-13,1105
2016-07-14,1145
2016-07-15,929
2016-07-16,397
2016-07-17,397
2016-07-18,1025
2016-07-19,1090
2016-07-20,1212
2016-07-21,1082
2016-07-22,1029
2016-07-23,403
2016-07-24,534
2016-07-25,1315
2016-07-26,1065
2016-07-27,1035
2016-07-28,1138
2016-07-29,859
2016-07-30,410
2016-07-31,410
2016-08-01,1053
2016-08-02,1248
2016-08-03,1245
2016-08-04,1182
2016-08-05,938
2016-08-06,350
2016-08-07,420
2016-08-08,1135
2016-08-09,1076
2016-08-10,1171
2016-08-11,1134
2016-08-12,1005
2016-08-13,384
2016-08-14,443
2016-08-15,913
2016-08-16,1153
2016-08-17,1024
2016-08-18,873
2016-08-19,861
2016-08-20,394
2016-08-21,455
2016-08-22,1284
2016-08-23,1255
2016-08-24,1274
2016-08-25,1168
2016-08-26,1041
2016-08-27,443
2016-08-28,464
2016-08-29,1165
2016-08-30,1354
2016-08-31,1286
2016-09-01,1273
2016-09-02,1086
2016-09-03,381
2016-09-04,441
2016-09-05,813
2016-09-06,1301
2016-09-07,2052
2016-09-08,1609
2016-09-09,1092
2016-09-10,430
2016-09-11,474
2016-09-12,1150
2016-09-13,1355
2016-09-14,1303
2016-09-15,1161
2016-09-16,964
2016-09-17,457
2016-09-18,554
2016-09-19,1269
2016-09-20,1221
2016-09-21,2015
2016-09-22,1417
2016-09-23,1207
2016-09-24,545
2016-09-25,533
2016-09-26,1191
2016-09-27,1259
2016-09-28,1455
2016-09-29,1237
2016-09-30,956
2016-10-01,417
2016-10-02,520
2016-10-03,1148
2016-10-04,1272
2016-10-05,1190
2016-10-06,1169
2016-10-07,987
2016-10-08,461
2016-10-09,475
2016-10-10,1229
2016-10-11,1610
2016-10-12,1493
2016-10-13,1382
2016-10-14,1168
2016-10-15,472
2016-10-16,861
2016-10-17,1376
2016-10-18,1321
2016-10-19,1351
2016-10-20,1301
2016-10-21,1215
2016-10-22,558
2016-10-23,557
2016-10-24,1279
2016-10-25,1403
2016-10-26,1802
2016-10-27,1382
2016-10-28,1085
2016-10-29,489
2016-10-30,501
2016-10-31,1386
2016-11-01,1079
2016-11-02,2942
2016-11-03,4433
2016-11-04,2518
2016-11-05,766
2016-11-06,813
2016-11-07,1749
2016-11-08,1631
2016-11-09,1180
2016-11-10,1339
2016-11-11,1009
2016-11-12,388
2016-11-13,486
2016-11-14,1272
2016-11-15,1309
2016-11-16,1398
2016-11-17,1228
2016-11-18,1158
2016-11-19,498
2016-11-20,500
2016-11-21,1154
2016-11-22,1262
2016-11-23,1088
2016-11-24,863
2016-11-25,786
2016-11-26,446
2016-11-27,474
2016-11-28,1245
2016-11-29,1494
2016-11-30,1671
2016-12-01,1507
2016-12-02,1220
2016-12-03,533
2016-12-04,547
2016-12-05,1226
2016-12-06,1321
2016-12-07,1469
2016-12-08,1556
2016-12-09,1183
2016-12-10,537
2016-12-11,522
2016-12-12,1370
2016-12-13,1296
2016-12-14,1587
2016-12-15,1326
2016-12-16,994
2016-12-17,442
2016-12-18,434
2016-12-19,1139
2016-12-20,1040
2016-12-21,1082
