Date,"Slack (software)"
2016-06-19,28
2016-06-20,9
2016-06-21,32
2016-06-22,41
2016-06-23,30
2016-06-24,28
2016-06-25,23
2016-06-26,23
2016-06-27,14
2016-06-28,17
2016-06-29,20
2016-06-30,18
2016-07-01,18
2016-07-02,18
2016-07-03,18
2016-07-04,16
2016-07-05,16
2016-07-06,20
2016-07-07,11
2016-07-08,13
2016-07-09,17
2016-07-10,18
2016-07-11,14
2016-07-12,17
2016-07-13,16
2016-07-14,18
2016-07-15,20
2016-07-16,19
2016-07-17,14
2016-07-18,16
2016-07-19,17
2016-07-20,30
2016-07-21,9
2016-07-22,17
2016-07-23,13
2016-07-24,17
2016-07-25,13
2016-07-26,16
2016-07-27,15
2016-07-28,18
2016-07-29,13
2016-07-30,15
2016-07-31,12
2016-08-01,18
2016-08-02,18
2016-08-03,15
2016-08-04,20
2016-08-05,14
2016-08-06,14
2016-08-07,13
2016-08-08,11
2016-08-09,16
2016-08-10,9
2016-08-11,12
2016-08-12,15
2016-08-13,9
2016-08-14,17
2016-08-15,12
2016-08-16,7
2016-08-17,15
2016-08-18,14
2016-08-19,15
2016-08-20,14
2016-08-21,10
2016-08-22,12
2016-08-23,10
2016-08-24,17
2016-08-25,10
2016-08-26,23
2016-08-27,14
2016-08-28,17
2016-08-29,12
2016-08-30,17
2016-08-31,17
2016-09-01,14
2016-09-02,18
2016-09-03,20
2016-09-04,15
2016-09-05,19
2016-09-06,17
2016-09-07,35
2016-09-08,28
2016-09-09,19
2016-09-10,13
2016-09-11,12
2016-09-12,14
2016-09-13,15
2016-09-14,19
2016-09-15,17
2016-09-16,11
2016-09-17,18
2016-09-18,13
2016-09-19,12
2016-09-20,12
2016-09-21,34
2016-09-22,13
2016-09-23,18
2016-09-24,12
2016-09-25,10
2016-09-26,18
2016-09-27,11
2016-09-28,28
2016-09-29,14
2016-09-30,11
2016-10-01,11
2016-10-02,12
2016-10-03,7
2016-10-04,7
2016-10-05,6
2016-10-06,10
2016-10-07,11
2016-10-08,3
2016-10-09,8
2016-10-10,15
2016-10-11,19
2016-10-12,17
2016-10-13,14
2016-10-14,11
2016-10-15,5
2016-10-16,15
2016-10-17,9
2016-10-18,14
2016-10-19,14
2016-10-20,18
2016-10-21,16
2016-10-22,13
2016-10-23,5
2016-10-24,14
2016-10-25,15
2016-10-26,20
2016-10-27,17
2016-10-28,12
2016-10-29,16
2016-10-30,10
2016-10-31,6
2016-11-01,7
2016-11-02,56
2016-11-03,73
2016-11-04,31
2016-11-05,6
2016-11-06,15
2016-11-07,8
2016-11-08,15
2016-11-09,5
2016-11-10,11
2016-11-11,8
2016-11-12,9
2016-11-13,24
2016-11-14,8
2016-11-15,22
2016-11-16,28
2016-11-17,14
2016-11-18,11
2016-11-19,10
2016-11-20,3
2016-11-21,7
2016-11-22,12
2016-11-23,14
2016-11-24,14
2016-11-25,7
2016-11-26,7
2016-11-27,12
2016-11-28,11
2016-11-29,16
2016-11-30,11
2016-12-01,23
2016-12-02,15
2016-12-03,14
2016-12-04,14
2016-12-05,13
2016-12-06,8
2016-12-07,16
2016-12-08,20
2016-12-09,24
2016-12-10,13
2016-12-11,15
2016-12-12,5
2016-12-13,5
2016-12-14,13
2016-12-15,15
2016-12-16,12
2016-12-17,12
2016-12-18,11
2016-12-19,11
2016-12-20,13
2016-12-21,11
2016-12-22,13
2016-12-23,9
2016-12-24,14
2016-12-25,13
2016-12-26,8
2016-12-27,17
2016-12-28,8
2016-12-29,14
2016-12-30,16
2016-12-31,16
2017-01-01,9
2017-01-02,14
2017-01-03,17
2017-01-04,17
2017-01-05,10
2017-01-06,47
2017-01-07,49
2017-01-08,30
2017-01-09,12
2017-01-10,13
2017-01-11,21
2017-01-12,22
2017-01-13,25
2017-01-14,7
2017-01-15,15
2017-01-16,16
2017-01-17,15
2017-01-18,57
2017-01-19,20
2017-01-20,12
2017-01-21,18
2017-01-22,14
2017-01-23,19
2017-01-24,24
2017-01-25,14
2017-01-26,17
2017-01-27,21
2017-01-28,15
2017-01-29,19
2017-01-30,18
2017-01-31,16
2017-02-01,30
2017-02-02,22
2017-02-03,24
2017-02-04,15
2017-02-05,21
2017-02-06,20
2017-02-07,17
2017-02-08,14
2017-02-09,21
2017-02-10,17
2017-02-11,17
2017-02-12,15
2017-02-13,23
2017-02-14,17
2017-02-15,21
2017-02-16,18
2017-02-17,15
2017-02-18,14
2017-02-19,12
2017-02-20,23
2017-02-21,15
2017-02-22,16
2017-02-23,20
2017-02-24,24
2017-02-25,17
2017-02-26,29
2017-02-27,15
2017-02-28,15
2017-03-01,23
2017-03-02,26
2017-03-03,24
2017-03-04,20
2017-03-05,20
2017-03-06,14
2017-03-07,24
2017-03-08,17
2017-03-09,34
2017-03-10,29
2017-03-11,25
2017-03-12,19
2017-03-13,19
2017-03-14,29
2017-03-15,31
2017-03-16,32
2017-03-17,7
2017-03-18,21
2017-03-19,19
2017-03-20,13
2017-03-21,19
2017-03-22,21
2017-03-23,20
2017-03-24,25
2017-03-25,12
2017-03-26,18
2017-03-27,14
2017-03-28,11
2017-03-29,15
2017-03-30,15
2017-03-31,21
2017-04-01,20
2017-04-02,15
2017-04-03,14
2017-04-04,16
2017-04-05,14
2017-04-06,9
2017-04-07,20
2017-04-08,19
2017-04-09,17
2017-04-10,10
2017-04-11,13
2017-04-12,14
2017-04-13,25
2017-04-14,19
2017-04-15,19
2017-04-16,8
2017-04-17,34
2017-04-18,27
2017-04-19,23
2017-04-20,15
2017-04-21,19
2017-04-22,26
2017-04-23,15
2017-04-24,18
2017-04-25,18
2017-04-26,20
2017-04-27,19
2017-04-28,17
2017-04-29,24
2017-04-30,17
2017-05-01,17
2017-05-02,21
2017-05-03,30
2017-05-04,15
2017-05-05,17
2017-05-06,25
2017-05-07,15
2017-05-08,16
2017-05-09,11
2017-05-10,24
2017-05-11,17
2017-05-12,15
2017-05-13,19
2017-05-14,22
2017-05-15,15
2017-05-16,19
2017-05-17,21
2017-05-18,25
2017-05-19,19
2017-05-20,27
2017-05-21,19
2017-05-22,35
2017-05-23,31
2017-05-24,14
2017-05-25,13
2017-05-26,18
2017-05-27,16
2017-05-28,20
2017-05-29,18
2017-05-30,30
2017-05-31,23
2017-06-01,21
2017-06-02,17
2017-06-03,25
2017-06-04,24
2017-06-05,15
2017-06-06,19
2017-06-07,17
2017-06-08,31
2017-06-09,23
2017-06-10,13
2017-06-11,20
2017-06-12,16
2017-06-13,25
2017-06-14,25
2017-06-15,45
2017-06-16,76
2017-06-17,46
2017-06-18,33
2017-06-19,21
2017-06-20,29
2017-06-21,29
2017-06-22,25
2017-06-23,18
2017-06-24,22
2017-06-25,13
2017-06-26,16
2017-06-27,28
2017-06-28,22
2017-06-29,16
2017-06-30,13
2017-07-01,11
2017-07-02,10
2017-07-03,15
2017-07-04,25
2017-07-05,12
2017-07-06,25
2017-07-07,14
2017-07-08,25
2017-07-09,15
2017-07-10,27
2017-07-11,13
2017-07-12,11
2017-07-13,33
2017-07-14,21
2017-07-15,20
2017-07-16,7
2017-07-17,17
2017-07-18,18
2017-07-19,27
2017-07-20,15
2017-07-21,21
2017-07-22,11
2017-07-23,26
2017-07-24,18
2017-07-25,17
2017-07-26,15
2017-07-27,24
2017-07-28,26
2017-07-29,14
2017-07-30,19
2017-07-31,8
2017-08-01,17
2017-08-02,17
2017-08-03,18
2017-08-04,23
2017-08-05,18
2017-08-06,10
2017-08-07,21
2017-08-08,21
2017-08-09,32
2017-08-10,19
2017-08-11,20
2017-08-12,17
2017-08-13,12
2017-08-14,13
2017-08-15,20
2017-08-16,8
2017-08-17,9
2017-08-18,28
2017-08-19,16
2017-08-20,19
2017-08-21,20
2017-08-22,20
2017-08-23,25
2017-08-24,20
2017-08-25,19
2017-08-26,14
2017-08-27,10
2017-08-28,14
2017-08-29,13
2017-08-30,16
2017-08-31,23
2017-09-01,12
2017-09-02,19
2017-09-03,12
2017-09-04,14
2017-09-05,13
2017-09-06,11
2017-09-07,21
2017-09-08,20
2017-09-09,18
2017-09-10,4
2017-09-11,21
2017-09-12,19
2017-09-13,26
2017-09-14,24
2017-09-15,21
2017-09-16,8
2017-09-17,14
2017-09-18,73
2017-09-19,46
2017-09-20,17
2017-09-21,26
2017-09-22,18
2017-09-23,29
2017-09-24,27
2017-09-25,25
2017-09-26,27
2017-09-27,27
2017-09-28,12
2017-09-29,17
2017-09-30,23
2017-10-01,18
2017-10-02,20
2017-10-03,24
2017-10-04,15
2017-10-05,24
2017-10-06,21
2017-10-07,10
2017-10-08,23
2017-10-09,20
2017-10-10,19
2017-10-11,16
2017-10-12,13
2017-10-13,27
2017-10-14,13
2017-10-15,11
2017-10-16,12
2017-10-17,21
2017-10-18,14
2017-10-19,12
2017-10-20,21
2017-10-21,17
2017-10-22,12
2017-10-23,16
2017-10-24,15
2017-10-25,16
2017-10-26,18
2017-10-27,25
2017-10-28,21
2017-10-29,17
2017-10-30,10
2017-10-31,15
2017-11-01,60
2017-11-02,19
2017-11-03,26
2017-11-04,36
2017-11-05,23
2017-11-06,23
2017-11-07,21
2017-11-08,30
2017-11-09,21
2017-11-10,25
2017-11-11,24
2017-11-12,21
2017-11-13,10
2017-11-14,13
2017-11-15,17
2017-11-16,12
2017-11-17,22
2017-11-18,19
2017-11-19,20
2017-11-20,15
2017-11-21,21
2017-11-22,14
2017-11-23,16
2017-11-24,27
2017-11-25,19
2017-11-26,17
2017-11-27,19
2017-11-28,20
2017-11-29,25
2017-11-30,28
2017-12-01,26
2017-12-02,13
2017-12-03,32
2017-12-04,16
2017-12-05,28
2017-12-06,16
2017-12-07,10
2017-12-08,13
2017-12-09,17
2017-12-10,23
2017-12-11,15
2017-12-12,14
2017-12-13,11
2017-12-14,20
2017-12-15,24
2017-12-16,18
2017-12-17,9
2017-12-18,16
2017-12-19,5
2017-12-20,16
2017-12-21,22
2017-12-22,21
2017-12-23,14
2017-12-24,13
2017-12-25,14
2017-12-26,11
2017-12-27,10
2017-12-28,15
2017-12-29,8
2017-12-30,18
2017-12-31,11
2018-01-01,13
2018-01-02,11
2018-01-03,16
2018-01-04,18
2018-01-05,50
2018-01-06,20
2018-01-07,17
2018-01-08,10
2018-01-09,52
2018-01-10,39
2018-01-11,33
2018-01-12,14
2018-01-13,21
2018-01-14,15
2018-01-15,14
2018-01-16,18
2018-01-17,20
2018-01-18,21
2018-01-19,22
2018-01-20,19
2018-01-21,21
2018-01-22,18
2018-01-23,20
2018-01-24,24
2018-01-25,21
2018-01-26,23
2018-01-27,17
2018-01-28,19
2018-01-29,12
2018-01-30,13
2018-01-31,13
2018-02-01,11
2018-02-02,29
2018-02-03,11
2018-02-04,18
2018-02-05,10
2018-02-06,14
2018-02-07,18
2018-02-08,36
2018-02-09,16
2018-02-10,15
2018-02-11,9
2018-02-12,11
2018-02-13,24
2018-02-14,22
2018-02-15,24
2018-02-16,16
2018-02-17,10
2018-02-18,17
2018-02-19,15
2018-02-20,22
2018-02-21,35
2018-02-22,15
2018-02-23,11
2018-02-24,20
2018-02-25,10
2018-02-26,17
2018-02-27,23
2018-02-28,36
2018-03-01,33
2018-03-02,16
2018-03-03,31
2018-03-04,19
2018-03-05,14
2018-03-06,13
2018-03-07,28
2018-03-08,15
2018-03-09,19
2018-03-10,20
2018-03-11,15
2018-03-12,31
2018-03-13,26
2018-03-14,25
2018-03-15,11
2018-03-16,18
2018-03-17,17
2018-03-18,13
2018-03-19,12
2018-03-20,20
2018-03-21,31
2018-03-22,30
2018-03-23,20
2018-03-24,15
2018-03-25,14
2018-03-26,17
2018-03-27,15
2018-03-28,15
2018-03-29,28
2018-03-30,14
2018-03-31,11
2018-04-01,12
2018-04-02,27
2018-04-03,25
2018-04-04,18
2018-04-05,30
2018-04-06,19
2018-04-07,14
2018-04-08,17
2018-04-09,16
2018-04-10,20
2018-04-11,21
2018-04-12,15
2018-04-13,24
2018-04-14,17
2018-04-15,8
2018-04-16,15
2018-04-17,15
2018-04-18,24
2018-04-19,22
2018-04-20,19
