Date,"Slack (software)"
2016-05-24,2127
2016-05-25,2141
2016-05-26,2495
2016-05-27,2546
2016-05-28,1026
2016-05-29,1592
2016-05-30,2095
2016-05-31,1619
2016-06-01,1465
2016-06-02,1467
2016-06-03,1336
2016-06-04,760
2016-06-05,869
2016-06-06,8859
2016-06-07,4941
2016-06-08,3796
2016-06-09,2601
2016-06-10,2470
2016-06-11,1366
2016-06-12,1324
2016-06-13,2576
2016-06-14,2465
2016-06-15,2374
2016-06-16,2093
2016-06-17,1767
2016-06-18,998
2016-06-19,1190
2016-06-20,1813
2016-06-21,2060
2016-06-22,2420
2016-06-23,2286
2016-06-24,1468
2016-06-25,851
2016-06-26,870
2016-06-27,1588
2016-06-28,1805
2016-06-29,1805
2016-06-30,1839
2016-07-01,1605
2016-07-02,776
2016-07-03,780
2016-07-04,1361
2016-07-05,1642
2016-07-06,1560
2016-07-07,1587
2016-07-08,1399
2016-07-09,753
2016-07-10,746
2016-07-11,1468
2016-07-12,1478
2016-07-13,1444
2016-07-14,1510
2016-07-15,1279
2016-07-16,682
2016-07-17,694
2016-07-18,1334
2016-07-19,1421
2016-07-20,1723
2016-07-21,1408
2016-07-22,1385
2016-07-23,762
2016-07-24,917
2016-07-25,1648
2016-07-26,1382
2016-07-27,1346
2016-07-28,1519
2016-07-29,1152
2016-07-30,706
2016-07-31,673
2016-08-01,1367
2016-08-02,1611
2016-08-03,1614
2016-08-04,1525
2016-08-05,1264
2016-08-06,602
2016-08-07,672
2016-08-08,1392
2016-08-09,1352
2016-08-10,1545
2016-08-11,1484
2016-08-12,1307
2016-08-13,661
2016-08-14,763
2016-08-15,1218
2016-08-16,1448
2016-08-17,1327
2016-08-18,1137
2016-08-19,1126
2016-08-20,645
2016-08-21,769
2016-08-22,1760
2016-08-23,1620
2016-08-24,1622
2016-08-25,1565
2016-08-26,1500
2016-08-27,771
2016-08-28,824
2016-08-29,1500
2016-08-30,1717
2016-08-31,1682
2016-09-01,1650
2016-09-02,1451
2016-09-03,691
2016-09-04,751
2016-09-05,1142
2016-09-06,1846
2016-09-07,2773
2016-09-08,2125
2016-09-09,1462
2016-09-10,715
2016-09-11,750
2016-09-12,1565
2016-09-13,1846
2016-09-14,1799
2016-09-15,1602
2016-09-16,1356
2016-09-17,820
2016-09-18,873
2016-09-19,1645
2016-09-20,1730
2016-09-21,2708
2016-09-22,1821
2016-09-23,1618
2016-09-24,906
2016-09-25,877
2016-09-26,1546
2016-09-27,1623
2016-09-28,1978
2016-09-29,1705
2016-09-30,1311
2016-10-01,696
2016-10-02,807
2016-10-03,1415
2016-10-04,1597
2016-10-05,1589
2016-10-06,1541
2016-10-07,1382
2016-10-08,740
2016-10-09,730
2016-10-10,1603
2016-10-11,2116
2016-10-12,1990
2016-10-13,1787
2016-10-14,1532
2016-10-15,784
2016-10-16,1193
2016-10-17,1712
2016-10-18,1711
2016-10-19,1790
2016-10-20,1687
2016-10-21,1580
2016-10-22,898
2016-10-23,882
2016-10-24,1639
2016-10-25,1859
2016-10-26,2474
2016-10-27,1869
2016-10-28,1452
2016-10-29,883
2016-10-30,839
2016-10-31,1726
2016-11-01,1418
2016-11-02,4406
2016-11-03,6353
2016-11-04,3605
2016-11-05,1426
2016-11-06,1494
2016-11-07,2201
2016-11-08,2094
2016-11-09,1498
2016-11-10,1688
2016-11-11,1331
2016-11-12,687
2016-11-13,784
2016-11-14,1574
2016-11-15,1663
2016-11-16,1788
2016-11-17,1574
2016-11-18,1486
2016-11-19,765
2016-11-20,741
2016-11-21,1437
2016-11-22,1509
2016-11-23,1360
2016-11-24,1119
2016-11-25,1035
2016-11-26,660
2016-11-27,676
2016-11-28,1491
2016-11-29,1826
2016-11-30,2015
2016-12-01,1899
2016-12-02,1554
2016-12-03,822
2016-12-04,858
2016-12-05,1544
2016-12-06,1653
2016-12-07,1842
2016-12-08,1990
2016-12-09,1516
2016-12-10,822
2016-12-11,802
2016-12-12,1631
2016-12-13,1602
2016-12-14,2022
2016-12-15,1678
2016-12-16,1247
2016-12-17,699
2016-12-18,669
2016-12-19,1413
2016-12-20,1296
2016-12-21,1381
2016-12-22,1335
2016-12-23,832
2016-12-24,505
2016-12-25,484
2016-12-26,696
2016-12-27,946
2016-12-28,955
2016-12-29,960
2016-12-30,950
2016-12-31,571
2017-01-01,525
2017-01-02,988
2017-01-03,1472
2017-01-04,1675
2017-01-05,1679
2017-01-06,2310
2017-01-07,1767
2017-01-08,1347
2017-01-09,2259
2017-01-10,2149
2017-01-11,1949
2017-01-12,1815
2017-01-13,1558
2017-01-14,829
2017-01-15,831
2017-01-16,1449
2017-01-17,1732
2017-01-18,2573
2017-01-19,2397
2017-01-20,1792
2017-01-21,822
2017-01-22,922
2017-01-23,1770
2017-01-24,2000
2017-01-25,1772
2017-01-26,1631
2017-01-27,1446
2017-01-28,864
2017-01-29,932
2017-01-30,1712
2017-01-31,2292
2017-02-01,2310
2017-02-02,1914
2017-02-03,1784
2017-02-04,837
2017-02-05,886
2017-02-06,1632
2017-02-07,2216
2017-02-08,2063
2017-02-09,1907
2017-02-10,1724
2017-02-11,933
2017-02-12,951
2017-02-13,1871
2017-02-14,1790
2017-02-15,1782
2017-02-16,1833
2017-02-17,1570
2017-02-18,841
2017-02-19,855
2017-02-20,1587
2017-02-21,1840
2017-02-22,1896
2017-02-23,1941
2017-02-24,1860
2017-02-25,921
2017-02-26,911
2017-02-27,1689
2017-02-28,2011
2017-03-01,2078
2017-03-02,1935
2017-03-03,1725
2017-03-04,923
2017-03-05,964
2017-03-06,1739
2017-03-07,1884
2017-03-08,1803
2017-03-09,2031
2017-03-10,2067
2017-03-11,867
2017-03-12,856
2017-03-13,1799
2017-03-14,2162
2017-03-15,2393
2017-03-16,2192
2017-03-17,1865
2017-03-18,956
2017-03-19,944
2017-03-20,1721
2017-03-21,1847
2017-03-22,1910
2017-03-23,1797
2017-03-24,1741
2017-03-25,789
2017-03-26,764
2017-03-27,1638
2017-03-28,1901
2017-03-29,1988
2017-03-30,1970
2017-03-31,1601
2017-04-01,846
2017-04-02,855
2017-04-03,1813
2017-04-04,1757
2017-04-05,1811
2017-04-06,1832
2017-04-07,1637
2017-04-08,791
2017-04-09,817
2017-04-10,1816
2017-04-11,1787
2017-04-12,1922
2017-04-13,1719
2017-04-14,1233
2017-04-15,809
2017-04-16,728
2017-04-17,1584
2017-04-18,1892
2017-04-19,2077
2017-04-20,1837
2017-04-21,1617
2017-04-22,853
2017-04-23,816
2017-04-24,1700
2017-04-25,1926
2017-04-26,2107
2017-04-27,2103
2017-04-28,1867
2017-04-29,942
2017-04-30,811
2017-05-01,1192
2017-05-02,1689
2017-05-03,1882
2017-05-04,1873
2017-05-05,1733
2017-05-06,981
2017-05-07,922
2017-05-08,1793
2017-05-09,1813
2017-05-10,1835
2017-05-11,1750
2017-05-12,1502
2017-05-13,731
2017-05-14,737
2017-05-15,1585
2017-05-16,1880
2017-05-17,1755
2017-05-18,1709
2017-05-19,1359
2017-05-20,794
2017-05-21,751
2017-05-22,1588
2017-05-23,1652
2017-05-24,1586
2017-05-25,1471
2017-05-26,1304
2017-05-27,725
2017-05-28,684
2017-05-29,1165
2017-05-30,1578
2017-05-31,1533
2017-06-01,1631
2017-06-02,1427
2017-06-03,833
2017-06-04,764
2017-06-05,1508
2017-06-06,1685
2017-06-07,1740
2017-06-08,1699
2017-06-09,1489
2017-06-10,693
2017-06-11,727
2017-06-12,1575
2017-06-13,1628
2017-06-14,1766
2017-06-15,5214
2017-06-16,5314
2017-06-17,1664
2017-06-18,1194
2017-06-19,2252
2017-06-20,2240
2017-06-21,1972
2017-06-22,1797
2017-06-23,1522
2017-06-24,760
2017-06-25,920
2017-06-26,1865
2017-06-27,1716
2017-06-28,1815
2017-06-29,1658
2017-06-30,1441
2017-07-01,781
2017-07-02,861
2017-07-03,1437
2017-07-04,1407
2017-07-05,1658
2017-07-06,1618
2017-07-07,1493
2017-07-08,745
2017-07-09,797
2017-07-10,1469
2017-07-11,1562
2017-07-12,1747
2017-07-13,1667
2017-07-14,1433
2017-07-15,708
2017-07-16,680
2017-07-17,1515
2017-07-18,1618
2017-07-19,1702
2017-07-20,1611
2017-07-21,1352
2017-07-22,663
2017-07-23,806
2017-07-24,1470
2017-07-25,1544
2017-07-26,1502
2017-07-27,2309
2017-07-28,1810
2017-07-29,677
2017-07-30,769
2017-07-31,1431
2017-08-01,1451
2017-08-02,1487
2017-08-03,1539
2017-08-04,1410
2017-08-05,684
2017-08-06,674
2017-08-07,1379
2017-08-08,1487
2017-08-09,1625
2017-08-10,1737
2017-08-11,1544
2017-08-12,748
2017-08-13,716
2017-08-14,1723
2017-08-15,1560
2017-08-16,1743
2017-08-17,1846
2017-08-18,1662
2017-08-19,1023
2017-08-20,664
2017-08-21,1461
2017-08-22,1538
2017-08-23,1562
2017-08-24,1562
2017-08-25,1381
2017-08-26,709
2017-08-27,658
2017-08-28,1469
2017-08-29,1642
2017-08-30,2560
2017-08-31,1918
2017-09-01,1535
2017-09-02,759
2017-09-03,669
2017-09-04,1148
2017-09-05,1440
2017-09-06,1505
2017-09-07,1619
2017-09-08,1449
2017-09-09,738
2017-09-10,698
2017-09-11,1675
2017-09-12,1742
2017-09-13,1828
2017-09-14,1924
2017-09-15,1517
2017-09-16,786
2017-09-17,838
2017-09-18,6112
2017-09-19,3546
2017-09-20,2250
2017-09-21,2012
2017-09-22,1729
2017-09-23,896
2017-09-24,897
2017-09-25,1955
2017-09-26,2291
2017-09-27,1957
2017-09-28,1723
2017-09-29,1473
2017-09-30,932
2017-10-01,806
2017-10-02,1555
2017-10-03,1737
2017-10-04,1762
2017-10-05,1781
2017-10-06,1702
2017-10-07,898
2017-10-08,835
2017-10-09,1537
2017-10-10,1643
2017-10-11,1687
2017-10-12,1786
2017-10-13,1570
2017-10-14,797
2017-10-15,818
2017-10-16,1683
2017-10-17,1857
2017-10-18,1685
2017-10-19,1730
2017-10-20,1635
2017-10-21,773
2017-10-22,834
2017-10-23,1630
2017-10-24,1751
2017-10-25,1800
2017-10-26,1842
2017-10-27,1670
2017-10-28,829
2017-10-29,819
2017-10-30,1860
2017-10-31,2257
2017-11-01,2900
2017-11-02,2024
2017-11-03,1806
2017-11-04,1212
2017-11-05,1116
2017-11-06,1930
2017-11-07,1912
2017-11-08,2126
2017-11-09,1867
2017-11-10,1696
2017-11-11,940
2017-11-12,921
2017-11-13,1754
2017-11-14,1826
2017-11-15,1909
2017-11-16,2147
2017-11-17,1664
2017-11-18,950
2017-11-19,910
2017-11-20,1763
2017-11-21,1797
2017-11-22,1710
2017-11-23,1330
2017-11-24,1278
2017-11-25,810
2017-11-26,880
2017-11-27,1581
2017-11-28,1771
2017-11-29,1834
2017-11-30,1721
2017-12-01,1555
2017-12-02,845
2017-12-03,1033
2017-12-04,1870
2017-12-05,1817
2017-12-06,1676
2017-12-07,1715
2017-12-08,1651
2017-12-09,927
2017-12-10,842
2017-12-11,1765
2017-12-12,1852
2017-12-13,1686
2017-12-14,1606
2017-12-15,1541
2017-12-16,812
2017-12-17,757
2017-12-18,1680
2017-12-19,1579
2017-12-20,1480
2017-12-21,1332
2017-12-22,984
2017-12-23,595
2017-12-24,565
2017-12-25,552
2017-12-26,803
2017-12-27,1018
2017-12-28,986
2017-12-29,900
2017-12-30,678
2017-12-31,547
2018-01-01,637
2018-01-02,1303
2018-01-03,1576
2018-01-04,1480
2018-01-05,2231
2018-01-06,995
2018-01-07,859
2018-01-08,1836
2018-01-09,3538
2018-01-10,2733
2018-01-11,2146
2018-01-12,1588
2018-01-13,892
2018-01-14,856
2018-01-15,1592
2018-01-16,1897
2018-01-17,2011
2018-01-18,2435
2018-01-19,2155
2018-01-20,1086
2018-01-21,928
2018-01-22,1900
2018-01-23,1967
2018-01-24,2038
2018-01-25,1971
2018-01-26,1971
2018-01-27,910
2018-01-28,932
2018-01-29,1844
2018-01-30,1929
2018-01-31,2023
2018-02-01,1975
2018-02-02,1759
2018-02-03,952
2018-02-04,881
2018-02-05,1728
2018-02-06,1886
2018-02-07,1915
2018-02-08,1870
2018-02-09,1781
2018-02-10,918
2018-02-11,928
2018-02-12,1727
2018-02-13,1932
2018-02-14,2160
2018-02-15,1933
2018-02-16,1807
2018-02-17,852
2018-02-18,858
2018-02-19,1572
2018-02-20,1867
2018-02-21,1993
2018-02-22,1910
2018-02-23,1645
2018-02-24,874
2018-02-25,842
2018-02-26,1987
2018-02-27,2085
2018-02-28,2401
2018-03-01,2449
2018-03-02,1895
2018-03-03,1089
2018-03-04,1045
2018-03-05,1827
2018-03-06,2145
2018-03-07,2260
2018-03-08,1984
2018-03-09,1770
2018-03-10,969
2018-03-11,1007
2018-03-12,2014
2018-03-13,1882
2018-03-14,1886
2018-03-15,1819
2018-03-16,1609
2018-03-17,926
2018-03-18,850
2018-03-19,1770
2018-03-20,1971
2018-03-21,2061
2018-03-22,2213
2018-03-23,1835
2018-03-24,913
2018-03-25,878
2018-03-26,1783
2018-03-27,1918
2018-03-28,1782
2018-03-29,1768
2018-03-30,1135
2018-03-31,713
2018-04-01,774
2018-04-02,1368
2018-04-03,1787
2018-04-04,1883
2018-04-05,1864
2018-04-06,1607
2018-04-07,825
2018-04-08,905
2018-04-09,1811
2018-04-10,1835
2018-04-11,1952
2018-04-12,1982
2018-04-13,1700
2018-04-14,806
2018-04-15,806
2018-04-16,1873
2018-04-17,1944
2018-04-18,1861
2018-04-19,1773
2018-04-20,1545
2018-04-21,895
2018-04-22,845
2018-04-23,1800
2018-04-24,1870
2018-04-25,1877
2018-04-26,1834
2018-04-27,1494
2018-04-28,842
2018-04-29,855
2018-04-30,1830
2018-05-01,1587
2018-05-02,1750
2018-05-03,1774
2018-05-04,1592
2018-05-05,733
2018-05-06,791
2018-05-07,1577
2018-05-08,2285
2018-05-09,2292
2018-05-10,1900
2018-05-11,1749
2018-05-12,941
2018-05-13,852
2018-05-14,1769
2018-05-15,1874
2018-05-16,1879
2018-05-17,1947
2018-05-18,1737
2018-05-19,816
2018-05-20,732
2018-05-21,2433
2018-05-22,2088
2018-05-23,2125
2018-05-24,1991
2018-05-25,1516
2018-05-26,677
2018-05-27,684
2018-05-28,1207
2018-05-29,1708
2018-05-30,1986
2018-05-31,1756
2018-06-01,1616
2018-06-02,822
2018-06-03,831
2018-06-04,2214
2018-06-05,2038
2018-06-06,1998
2018-06-07,2007
2018-06-08,1725
2018-06-09,752
2018-06-10,772
2018-06-11,1748
2018-06-12,1788
2018-06-13,1887
2018-06-14,0
2018-06-15,1565
