Date,"Slack (software)"
2016-06-19,17
2016-06-20,16
2016-06-21,19
2016-06-22,17
2016-06-23,28
2016-06-24,25
2016-06-25,23
2016-06-26,21
2016-06-27,23
2016-06-28,23
2016-06-29,28
2016-06-30,48
2016-07-01,19
2016-07-02,31
2016-07-03,25
2016-07-04,12
2016-07-05,25
2016-07-06,19
2016-07-07,24
2016-07-08,14
2016-07-09,18
2016-07-10,21
2016-07-11,12
2016-07-12,16
2016-07-13,22
2016-07-14,38
2016-07-15,14
2016-07-16,25
2016-07-17,19
2016-07-18,17
2016-07-19,11
2016-07-20,20
2016-07-21,13
2016-07-22,32
2016-07-23,26
2016-07-24,96
2016-07-25,210
2016-07-26,23
2016-07-27,24
2016-07-28,28
2016-07-29,25
2016-07-30,51
2016-07-31,18
2016-08-01,20
2016-08-02,24
2016-08-03,28
2016-08-04,25
2016-08-05,35
2016-08-06,32
2016-08-07,37
2016-08-08,25
2016-08-09,23
2016-08-10,24
2016-08-11,26
2016-08-12,74
2016-08-13,24
2016-08-14,19
2016-08-15,19
2016-08-16,22
2016-08-17,16
2016-08-18,13
2016-08-19,19
2016-08-20,23
2016-08-21,29
2016-08-22,15
2016-08-23,15
2016-08-24,24
2016-08-25,29
2016-08-26,20
2016-08-27,20
2016-08-28,26
2016-08-29,13
2016-08-30,22
2016-08-31,22
2016-09-01,23
2016-09-02,63
2016-09-03,27
2016-09-04,22
2016-09-05,21
2016-09-06,21
2016-09-07,28
2016-09-08,28
2016-09-09,16
2016-09-10,27
2016-09-11,11
2016-09-12,13
2016-09-13,21
2016-09-14,15
2016-09-15,12
2016-09-16,22
2016-09-17,27
2016-09-18,15
2016-09-19,20
2016-09-20,26
2016-09-21,43
2016-09-22,19
2016-09-23,19
2016-09-24,20
2016-09-25,29
2016-09-26,17
2016-09-27,53
2016-09-28,53
2016-09-29,23
2016-09-30,23
2016-10-01,28
2016-10-02,26
2016-10-03,30
2016-10-04,27
2016-10-05,20
2016-10-06,16
2016-10-07,21
2016-10-08,35
2016-10-09,45
2016-10-10,36
2016-10-11,47
2016-10-12,30
2016-10-13,23
2016-10-14,29
2016-10-15,34
2016-10-16,62
2016-10-17,39
2016-10-18,31
2016-10-19,25
2016-10-20,35
2016-10-21,25
2016-10-22,20
2016-10-23,26
2016-10-24,53
2016-10-25,18
2016-10-26,31
2016-10-27,22
2016-10-28,45
2016-10-29,24
2016-10-30,21
2016-10-31,38
2016-11-01,28
2016-11-02,35
2016-11-03,38
2016-11-04,30
2016-11-05,19
2016-11-06,22
2016-11-07,31
2016-11-08,21
2016-11-09,27
2016-11-10,23
2016-11-11,15
2016-11-12,25
2016-11-13,34
2016-11-14,29
2016-11-15,10
2016-11-16,32
2016-11-17,18
2016-11-18,38
2016-11-19,24
2016-11-20,23
2016-11-21,17
2016-11-22,20
2016-11-23,66
2016-11-24,19
2016-11-25,30
2016-11-26,20
2016-11-27,8
2016-11-28,22
2016-11-29,44
2016-11-30,63
2016-12-01,68
2016-12-02,33
2016-12-03,18
2016-12-04,15
2016-12-05,39
2016-12-06,20
2016-12-07,23
2016-12-08,22
2016-12-09,23
2016-12-10,43
2016-12-11,22
2016-12-12,23
2016-12-13,37
2016-12-14,22
2016-12-15,29
2016-12-16,34
2016-12-17,32
2016-12-18,19
2016-12-19,28
2016-12-20,25
2016-12-21,18
2016-12-22,18
2016-12-23,33
2016-12-24,30
2016-12-25,12
2016-12-26,75
2016-12-27,51
2016-12-28,27
2016-12-29,24
2016-12-30,35
2016-12-31,22
2017-01-01,10
2017-01-02,26
2017-01-03,21
2017-01-04,24
2017-01-05,17
2017-01-06,32
2017-01-07,25
2017-01-08,25
2017-01-09,32
2017-01-10,27
2017-01-11,16
2017-01-12,40
2017-01-13,20
2017-01-14,21
2017-01-15,38
2017-01-16,28
2017-01-17,19
2017-01-18,33
2017-01-19,33
2017-01-20,40
2017-01-21,46
2017-01-22,24
2017-01-23,25
2017-01-24,30
2017-01-25,31
2017-01-26,40
2017-01-27,31
2017-01-28,50
2017-01-29,31
2017-01-30,29
2017-01-31,29
2017-02-01,70
2017-02-02,43
2017-02-03,30
2017-02-04,16
2017-02-05,20
2017-02-06,28
2017-02-07,25
2017-02-08,25
2017-02-09,25
2017-02-10,27
2017-02-11,35
2017-02-12,23
2017-02-13,35
2017-02-14,33
2017-02-15,17
2017-02-16,25
2017-02-17,26
2017-02-18,19
2017-02-19,22
2017-02-20,22
2017-02-21,21
2017-02-22,88
2017-02-23,70
2017-02-24,18
2017-02-25,27
2017-02-26,23
2017-02-27,24
2017-02-28,31
2017-03-01,21
2017-03-02,40
2017-03-03,25
2017-03-04,34
2017-03-05,21
2017-03-06,27
2017-03-07,44
2017-03-08,16
2017-03-09,28
2017-03-10,32
2017-03-11,32
2017-03-12,10
2017-03-13,23
2017-03-14,19
2017-03-15,32
2017-03-16,25
2017-03-17,65
2017-03-18,28
2017-03-19,54
2017-03-20,29
2017-03-21,21
2017-03-22,27
2017-03-23,31
2017-03-24,28
2017-03-25,16
2017-03-26,13
2017-03-27,18
2017-03-28,35
2017-03-29,26
2017-03-30,185
2017-03-31,46
2017-04-01,44
2017-04-02,19
2017-04-03,24
2017-04-04,15
2017-04-05,19
2017-04-06,20
2017-04-07,32
2017-04-08,19
2017-04-09,33
2017-04-10,31
2017-04-11,26
2017-04-12,31
2017-04-13,34
2017-04-14,23
2017-04-15,39
2017-04-16,23
2017-04-17,23
2017-04-18,20
2017-04-19,35
2017-04-20,43
2017-04-21,23
2017-04-22,19
2017-04-23,25
2017-04-24,34
2017-04-25,27
2017-04-26,30
2017-04-27,17
2017-04-28,18
2017-04-29,24
2017-04-30,17
2017-05-01,12
2017-05-02,20
2017-05-03,19
2017-05-04,26
2017-05-05,24
2017-05-06,29
2017-05-07,22
2017-05-08,23
2017-05-09,17
2017-05-10,15
2017-05-11,53
2017-05-12,19
2017-05-13,22
2017-05-14,20
2017-05-15,46
2017-05-16,25
2017-05-17,19
2017-05-18,27
2017-05-19,25
2017-05-20,19
2017-05-21,21
2017-05-22,29
2017-05-23,41
2017-05-24,24
2017-05-25,30
2017-05-26,26
2017-05-27,23
2017-05-28,12
2017-05-29,35
2017-05-30,14
2017-05-31,21
2017-06-01,28
2017-06-02,19
2017-06-03,19
2017-06-04,13
2017-06-05,16
2017-06-06,27
2017-06-07,20
2017-06-08,22
2017-06-09,55
2017-06-10,36
2017-06-11,20
2017-06-12,47
2017-06-13,48
2017-06-14,24
2017-06-15,43
2017-06-16,28
2017-06-17,18
2017-06-18,28
2017-06-19,24
2017-06-20,21
2017-06-21,24
2017-06-22,25
2017-06-23,14
2017-06-24,24
2017-06-25,20
2017-06-26,33
2017-06-27,21
2017-06-28,29
2017-06-29,45
2017-06-30,56
2017-07-01,117
2017-07-02,136
2017-07-03,110
2017-07-04,127
2017-07-05,110
2017-07-06,77
2017-07-07,52
2017-07-08,54
2017-07-09,63
2017-07-10,58
2017-07-11,58
2017-07-12,51
2017-07-13,28
2017-07-14,41
2017-07-15,29
2017-07-16,24
2017-07-17,21
2017-07-18,18
2017-07-19,21
2017-07-20,19
2017-07-21,21
2017-07-22,29
2017-07-23,25
2017-07-24,22
2017-07-25,33
2017-07-26,21
2017-07-27,38
2017-07-28,31
2017-07-29,23
2017-07-30,22
2017-07-31,22
2017-08-01,22
2017-08-02,24
2017-08-03,30
2017-08-04,26
2017-08-05,16
2017-08-06,14
2017-08-07,38
2017-08-08,21
2017-08-09,46
2017-08-10,24
2017-08-11,45
2017-08-12,18
2017-08-13,20
2017-08-14,26
2017-08-15,24
2017-08-16,41
2017-08-17,25
2017-08-18,28
2017-08-19,23
2017-08-20,16
2017-08-21,45
2017-08-22,35
2017-08-23,32
2017-08-24,22
2017-08-25,32
2017-08-26,24
2017-08-27,12
2017-08-28,33
2017-08-29,31
2017-08-30,23
2017-08-31,36
2017-09-01,35
2017-09-02,22
2017-09-03,21
2017-09-04,24
2017-09-05,40
2017-09-06,38
2017-09-07,24
2017-09-08,46
2017-09-09,24
2017-09-10,16
2017-09-11,48
2017-09-12,52
2017-09-13,48
2017-09-14,58
2017-09-15,36
2017-09-16,16
2017-09-17,15
2017-09-18,22
2017-09-19,29
2017-09-20,35
2017-09-21,76
2017-09-22,41
2017-09-23,55
2017-09-24,24
2017-09-25,62
2017-09-26,62
2017-09-27,51
2017-09-28,73
2017-09-29,59
2017-09-30,28
2017-10-01,34
2017-10-02,60
2017-10-03,52
2017-10-04,56
2017-10-05,147
2017-10-06,42
2017-10-07,20
2017-10-08,16
2017-10-09,32
2017-10-10,61
2017-10-11,66
2017-10-12,64
2017-10-13,49
2017-10-14,22
2017-10-15,23
2017-10-16,44
2017-10-17,69
2017-10-18,38
2017-10-19,51
2017-10-20,39
2017-10-21,35
2017-10-22,17
2017-10-23,45
2017-10-24,28
2017-10-25,38
2017-10-26,37
2017-10-27,29
2017-10-28,33
2017-10-29,38
2017-10-30,44
2017-10-31,37
2017-11-01,24
2017-11-02,85
2017-11-03,49
2017-11-04,41
2017-11-05,46
2017-11-06,63
2017-11-07,50
2017-11-08,89
2017-11-09,66
2017-11-10,63
2017-11-11,25
2017-11-12,23
2017-11-13,48
2017-11-14,41
2017-11-15,57
2017-11-16,46
2017-11-17,61
2017-11-18,43
2017-11-19,27
2017-11-20,49
2017-11-21,56
2017-11-22,42
2017-11-23,45
2017-11-24,53
2017-11-25,38
2017-11-26,48
2017-11-27,46
2017-11-28,49
2017-11-29,48
2017-11-30,63
2017-12-01,61
2017-12-02,52
2017-12-03,46
2017-12-04,49
2017-12-05,61
2017-12-06,55
2017-12-07,31
2017-12-08,36
2017-12-09,55
2017-12-10,22
2017-12-11,51
2017-12-12,54
2017-12-13,53
2017-12-14,52
2017-12-15,48
2017-12-16,62
2017-12-17,26
2017-12-18,35
2017-12-19,67
2017-12-20,39
2017-12-21,39
2017-12-22,37
2017-12-23,24
2017-12-24,29
2017-12-25,36
2017-12-26,28
2017-12-27,29
2017-12-28,39
2017-12-29,38
2017-12-30,33
2017-12-31,29
2018-01-01,40
2018-01-02,29
2018-01-03,26
2018-01-04,28
2018-01-05,42
2018-01-06,19
2018-01-07,24
2018-01-08,29
2018-01-09,58
2018-01-10,85
2018-01-11,46
2018-01-12,38
2018-01-13,56
2018-01-14,40
2018-01-15,51
2018-01-16,47
2018-01-17,41
2018-01-18,71
2018-01-19,60
2018-01-20,49
2018-01-21,27
2018-01-22,47
2018-01-23,52
2018-01-24,44
2018-01-25,33
2018-01-26,53
2018-01-27,57
2018-01-28,33
2018-01-29,41
2018-01-30,35
2018-01-31,52
2018-02-01,39
2018-02-02,52
2018-02-03,46
2018-02-04,35
2018-02-05,50
2018-02-06,55
2018-02-07,55
2018-02-08,35
2018-02-09,99
2018-02-10,61
2018-02-11,31
2018-02-12,41
2018-02-13,47
2018-02-14,73
2018-02-15,51
2018-02-16,70
2018-02-17,43
2018-02-18,24
2018-02-19,29
2018-02-20,44
2018-02-21,60
2018-02-22,42
2018-02-23,45
2018-02-24,25
2018-02-25,26
2018-02-26,52
2018-02-27,45
2018-02-28,46
2018-03-01,53
2018-03-02,60
2018-03-03,54
2018-03-04,50
2018-03-05,39
2018-03-06,46
2018-03-07,47
2018-03-08,23
2018-03-09,15
2018-03-10,16
