Date,"Slack (software)"
2016-06-17,448
2016-06-18,450
2016-06-19,613
2016-06-20,467
2016-06-21,548
2016-06-22,609
2016-06-23,616
2016-06-24,402
2016-06-25,375
2016-06-26,367
2016-06-27,343
2016-06-28,403
2016-06-29,447
2016-06-30,425
2016-07-01,460
2016-07-02,345
2016-07-03,308
2016-07-04,352
2016-07-05,333
2016-07-06,355
2016-07-07,376
2016-07-08,355
2016-07-09,338
2016-07-10,251
2016-07-11,315
2016-07-12,301
2016-07-13,323
2016-07-14,347
2016-07-15,330
2016-07-16,266
2016-07-17,283
2016-07-18,293
2016-07-19,314
2016-07-20,481
2016-07-21,317
2016-07-22,339
2016-07-23,346
2016-07-24,366
2016-07-25,320
2016-07-26,301
2016-07-27,296
2016-07-28,363
2016-07-29,280
2016-07-30,281
2016-07-31,251
2016-08-01,296
2016-08-02,345
2016-08-03,354
2016-08-04,323
2016-08-05,312
2016-08-06,238
2016-08-07,239
2016-08-08,246
2016-08-09,260
2016-08-10,365
2016-08-11,338
2016-08-12,287
2016-08-13,268
2016-08-14,303
2016-08-15,293
2016-08-16,288
2016-08-17,288
2016-08-18,250
2016-08-19,250
2016-08-20,237
2016-08-21,304
2016-08-22,464
2016-08-23,355
2016-08-24,331
2016-08-25,387
2016-08-26,436
2016-08-27,314
2016-08-28,343
2016-08-29,323
2016-08-30,346
2016-08-31,379
2016-09-01,363
2016-09-02,347
2016-09-03,290
2016-09-04,295
2016-09-05,310
2016-09-06,528
2016-09-07,686
2016-09-08,488
2016-09-09,351
2016-09-10,272
2016-09-11,264
2016-09-12,401
2016-09-13,476
2016-09-14,477
2016-09-15,424
2016-09-16,381
2016-09-17,345
2016-09-18,306
2016-09-19,364
2016-09-20,497
2016-09-21,659
2016-09-22,391
2016-09-23,393
2016-09-24,349
2016-09-25,334
2016-09-26,337
2016-09-27,353
2016-09-28,495
2016-09-29,454
2016-09-30,344
2016-10-01,268
2016-10-02,275
2016-10-03,260
2016-10-04,318
2016-10-05,393
2016-10-06,362
2016-10-07,384
2016-10-08,276
2016-10-09,247
2016-10-10,359
2016-10-11,487
2016-10-12,480
2016-10-13,391
2016-10-14,353
2016-10-15,307
2016-10-16,317
2016-10-17,327
2016-10-18,376
2016-10-19,425
2016-10-20,368
2016-10-21,349
2016-10-22,327
2016-10-23,320
2016-10-24,346
2016-10-25,441
2016-10-26,652
2016-10-27,470
2016-10-28,355
2016-10-29,378
2016-10-30,328
2016-10-31,334
2016-11-01,332
2016-11-02,1408
2016-11-03,1847
2016-11-04,1056
2016-11-05,654
2016-11-06,666
2016-11-07,444
2016-11-08,448
2016-11-09,313
2016-11-10,338
2016-11-11,314
2016-11-12,290
2016-11-13,274
2016-11-14,294
2016-11-15,332
2016-11-16,362
2016-11-17,332
2016-11-18,317
2016-11-19,257
2016-11-20,238
2016-11-21,276
2016-11-22,235
2016-11-23,258
2016-11-24,242
2016-11-25,242
2016-11-26,207
2016-11-27,190
2016-11-28,235
2016-11-29,316
2016-11-30,333
2016-12-01,369
2016-12-02,319
2016-12-03,275
2016-12-04,297
2016-12-05,305
2016-12-06,324
2016-12-07,357
2016-12-08,414
2016-12-09,309
2016-12-10,272
2016-12-11,265
2016-12-12,256
2016-12-13,301
2016-12-14,422
2016-12-15,337
2016-12-16,241
2016-12-17,245
2016-12-18,224
2016-12-19,263
2016-12-20,243
2016-12-21,288
2016-12-22,266
2016-12-23,273
2016-12-24,211
2016-12-25,200
2016-12-26,193
2016-12-27,258
2016-12-28,244
2016-12-29,273
2016-12-30,284
2016-12-31,230
2017-01-01,254
2017-01-02,293
2017-01-03,315
2017-01-04,359
2017-01-05,343
2017-01-06,446
2017-01-07,606
2017-01-08,448
2017-01-09,391
2017-01-10,376
2017-01-11,353
2017-01-12,329
2017-01-13,340
2017-01-14,292
2017-01-15,275
2017-01-16,296
2017-01-17,352
2017-01-18,841
2017-01-19,675
2017-01-20,400
2017-01-21,307
2017-01-22,318
2017-01-23,344
2017-01-24,438
2017-01-25,351
2017-01-26,347
2017-01-27,323
2017-01-28,299
2017-01-29,339
2017-01-30,319
2017-01-31,458
2017-02-01,524
2017-02-02,352
2017-02-03,354
2017-02-04,341
2017-02-05,317
2017-02-06,325
2017-02-07,513
2017-02-08,435
2017-02-09,426
2017-02-10,415
2017-02-11,354
2017-02-12,370
2017-02-13,378
2017-02-14,324
2017-02-15,404
2017-02-16,419
2017-02-17,331
2017-02-18,334
2017-02-19,283
2017-02-20,366
2017-02-21,405
2017-02-22,393
2017-02-23,450
2017-02-24,479
2017-02-25,375
2017-02-26,334
2017-02-27,383
2017-02-28,431
2017-03-01,466
2017-03-02,399
2017-03-03,389
2017-03-04,349
2017-03-05,335
2017-03-06,363
2017-03-07,354
2017-03-08,390
2017-03-09,436
2017-03-10,511
2017-03-11,332
2017-03-12,318
2017-03-13,358
2017-03-14,485
2017-03-15,524
2017-03-16,529
2017-03-17,431
2017-03-18,368
2017-03-19,345
2017-03-20,357
2017-03-21,396
2017-03-22,413
2017-03-23,357
2017-03-24,350
2017-03-25,271
2017-03-26,317
2017-03-27,308
2017-03-28,339
2017-03-29,404
2017-03-30,360
2017-03-31,265
2017-04-01,247
2017-04-02,280
2017-04-03,301
2017-04-04,315
2017-04-05,325
2017-04-06,359
2017-04-07,318
2017-04-08,262
2017-04-09,258
2017-04-10,301
2017-04-11,338
2017-04-12,349
2017-04-13,333
2017-04-14,333
2017-04-15,295
2017-04-16,278
2017-04-17,442
2017-04-18,340
2017-04-19,463
2017-04-20,381
2017-04-21,371
2017-04-22,325
2017-04-23,300
2017-04-24,369
2017-04-25,395
2017-04-26,382
2017-04-27,447
2017-04-28,365
2017-04-29,336
2017-04-30,302
2017-05-01,302
2017-05-02,332
2017-05-03,381
2017-05-04,433
2017-05-05,421
2017-05-06,378
2017-05-07,345
2017-05-08,345
2017-05-09,415
2017-05-10,397
2017-05-11,336
2017-05-12,313
2017-05-13,244
2017-05-14,265
2017-05-15,319
2017-05-16,398
2017-05-17,344
2017-05-18,389
2017-05-19,310
2017-05-20,289
2017-05-21,277
2017-05-22,299
2017-05-23,335
2017-05-24,328
2017-05-25,343
2017-05-26,279
2017-05-27,234
2017-05-28,237
2017-05-29,252
2017-05-30,338
2017-05-31,317
2017-06-01,322
2017-06-02,299
2017-06-03,291
2017-06-04,297
2017-06-05,316
2017-06-06,323
2017-06-07,353
2017-06-08,366
2017-06-09,290
2017-06-10,254
2017-06-11,270
2017-06-12,279
2017-06-13,340
2017-06-14,382
2017-06-15,1267
2017-06-16,1605
2017-06-17,792
2017-06-18,514
2017-06-19,466
2017-06-20,435
2017-06-21,402
2017-06-22,407
2017-06-23,374
2017-06-24,274
2017-06-25,344
2017-06-26,392
2017-06-27,314
2017-06-28,352
2017-06-29,319
2017-06-30,318
2017-07-01,267
2017-07-02,260
2017-07-03,257
2017-07-04,271
2017-07-05,320
2017-07-06,327
2017-07-07,291
2017-07-08,248
2017-07-09,276
2017-07-10,278
2017-07-11,269
2017-07-12,375
2017-07-13,337
2017-07-14,348
2017-07-15,278
2017-07-16,269
2017-07-17,278
2017-07-18,325
2017-07-19,313
2017-07-20,337
2017-07-21,314
2017-07-22,273
2017-07-23,315
2017-07-24,252
2017-07-25,334
2017-07-26,302
2017-07-27,564
2017-07-28,398
2017-07-29,277
2017-07-30,306
2017-07-31,303
2017-08-01,294
2017-08-02,370
2017-08-03,346
2017-08-04,341
2017-08-05,289
2017-08-06,230
2017-08-07,272
2017-08-08,275
2017-08-09,367
2017-08-10,340
2017-08-11,296
2017-08-12,281
2017-08-13,243
2017-08-14,296
2017-08-15,293
2017-08-16,276
2017-08-17,444
2017-08-18,395
2017-08-19,386
2017-08-20,232
2017-08-21,254
2017-08-22,258
2017-08-23,343
2017-08-24,320
2017-08-25,320
2017-08-26,234
2017-08-27,214
2017-08-28,328
2017-08-29,273
2017-08-30,349
2017-08-31,405
2017-09-01,427
2017-09-02,304
2017-09-03,240
2017-09-04,265
2017-09-05,318
2017-09-06,341
2017-09-07,369
2017-09-08,289
2017-09-09,276
2017-09-10,259
2017-09-11,328
2017-09-12,334
2017-09-13,369
2017-09-14,377
2017-09-15,364
2017-09-16,350
2017-09-17,323
2017-09-18,1756
2017-09-19,1031
2017-09-20,499
2017-09-21,420
2017-09-22,407
2017-09-23,360
2017-09-24,354
2017-09-25,441
2017-09-26,550
2017-09-27,443
2017-09-28,391
2017-09-29,340
2017-09-30,323
2017-10-01,292
2017-10-02,314
2017-10-03,349
2017-10-04,397
2017-10-05,368
2017-10-06,413
2017-10-07,339
2017-10-08,273
2017-10-09,300
2017-10-10,308
2017-10-11,385
2017-10-12,430
2017-10-13,369
2017-10-14,330
2017-10-15,270
2017-10-16,330
2017-10-17,398
2017-10-18,412
2017-10-19,407
2017-10-20,376
2017-10-21,291
2017-10-22,272
2017-10-23,312
2017-10-24,367
2017-10-25,380
2017-10-26,418
2017-10-27,389
2017-10-28,306
2017-10-29,257
2017-10-30,294
2017-10-31,431
2017-11-01,959
2017-11-02,473
2017-11-03,483
2017-11-04,518
2017-11-05,456
2017-11-06,395
2017-11-07,392
2017-11-08,484
2017-11-09,409
2017-11-10,439
2017-11-11,373
2017-11-12,349
2017-11-13,329
2017-11-14,367
2017-11-15,420
2017-11-16,512
2017-11-17,431
2017-11-18,393
2017-11-19,293
2017-11-20,365
2017-11-21,357
2017-11-22,372
2017-11-23,282
2017-11-24,315
2017-11-25,281
2017-11-26,328
2017-11-27,280
2017-11-28,370
2017-11-29,428
2017-11-30,379
2017-12-01,345
2017-12-02,293
2017-12-03,344
2017-12-04,432
2017-12-05,370
2017-12-06,346
2017-12-07,315
2017-12-08,322
2017-12-09,281
2017-12-10,284
2017-12-11,313
2017-12-12,331
2017-12-13,343
2017-12-14,334
2017-12-15,403
2017-12-16,292
2017-12-17,294
2017-12-18,369
2017-12-19,316
2017-12-20,338
2017-12-21,298
2017-12-22,265
2017-12-23,225
2017-12-24,222
2017-12-25,202
2017-12-26,214
2017-12-27,249
2017-12-28,251
2017-12-29,289
2017-12-30,245
2017-12-31,193
2018-01-01,202
2018-01-02,246
2018-01-03,305
2018-01-04,292
2018-01-05,964
2018-01-06,445
2018-01-07,311
2018-01-08,357
2018-01-09,978
2018-01-10,1040
2018-01-11,599
2018-01-12,335
2018-01-13,300
2018-01-14,263
2018-01-15,336
2018-01-16,346
2018-01-17,393
2018-01-18,498
2018-01-19,476
